citation,pmid
"Avniel S, Arik Z, Maly A, Sagie A, Basst HB, Yahana MD, et al. Involvement of the CXCL12/CXCR4 pathway in the recovery of skin following burns. J Invest Dermatol. 2006 Feb;126(2):468–76.",16385346
"Nayeri F, Xu J, Abdiu A, Nayeri T, Aili D, Liedberg B, et al. Autocrine production of biologically active hepatocyte growth factor (HGF) by injured human skin. J Dermatol Sci. 2006 Jul;43(1):49–56.",16621453
"Neely AN, Brown RL, Clendening CE, Orloff MM, Gardner J, Greenhalgh DG. Proteolytic activity in human burn wounds. Wound Repair Regen. 1997;5(4):302–9.",16984440
"Fumagalli M, Musso T, Vermi W, Scutera S, Daniele R, Alotto D, et al. Imbalance between activin A and follistatin drives postburn hypertrophic scar formation in human skin. Exp Dermatol. 2007 Jul;16(7):600–10.",17576240
"McLean CA, Cleland H, Moncrieff NJ, Barton RJ, de Kretser DM, Phillips DJ. Temporal expression of activin in acute burn wounds--from inflammatory cells to fibroblasts. Burns. 2008 Feb;34(1):50–5.",17644256
"Wang J, Chen H, Shankowsky HA, Scott PG, Tredget EE. Improved scar in postburn patients following interferon-alpha2b treatment is associated with decreased angiogenesis mediated by vascular endothelial cell growth factor. J Interferon Cytokine Res. 2008 Jul;28(7):423–34.",18597619
"Wang J, Hori K, Ding J, Huang Y, Kwan P, Ladak A, et al. Toll-like receptors expressed by dermal fibroblasts contribute to hypertrophic scarring. J Cell Physiol. 2011 May;226(5):1265–73.",20945369
"Ding J, Hori K, Zhang R, Marcoux Y, Honardoust D, Shankowsky HA, et al. Stromal cell-derived factor 1 (SDF-1) and its receptor CXCR4 in the formation of postburn hypertrophic scar (HTS). Wound Repair Regen. 2011;19(5):568–78.",22092795
"Chan RK, Zamora DO, Wrice NL, Baer DG, Renz EM, Christy RJ, et al. Development of a vascularized skin construct using adipose-derived stem cells from debrided burned skin. Stem Cells Int. 2012;2012:841203.",22848228
"Chen L, Wang Z, Li S, Zhao G, Tian M, Sun Z. SFRP2 and slug contribute to cellular resistance to apoptosis in hypertrophic scars. PLoS One. 2012;7(12):e50229.",23226515
"Kwan P, Ding J, Tredget EE. MicroRNA 181b regulates decorin production by dermal fibroblasts and may be a potential therapy for hypertrophic scar. PLoS One. 2015 Apr 2;10(4):e0123054.",25837671
"Gras C, Ratuszny D, Hadamitzky C, Zhang H, Blasczyk R, Figueiredo C. miR-145 Contributes to Hypertrophic Scarring of the Skin by Inducing Myofibroblast Activity. Mol Med. 2015 Apr 9;21(1):296–304.",25876136
"Hermanns-Lê T, Piérard GE, Jennes S, Piérard-Franchimont C. Protomyofibroblast Pathway in Early Thermal Burn Healing. Skin Pharmacol Physiol. 2015;28(5):250–4.",25998853
"Zhou J, Zhang X, Liang P, Ren L, Zeng J, Zhang M, et al. Protective role of microRNA-29a in denatured dermis and skin fibroblast cells after thermal injury. Biol Open. 2016 Jan 21;5(3):211–9.",26794609
"Taverna D, Pollins AC, Sindona G, Caprioli RM, Nanney LB. Imaging mass spectrometry for accessing molecular changes during burn wound healing. Wound Repair Regen. 2016 Sep;24(5):775–85.",27256813
"Zhu Y, Li Z, Wang Y, Li L, Wang D, Zhang W, et al. Overexpression of miR-29b reduces collagen biosynthesis by inhibiting heat shock protein 47 during skin wound healing. Transl Res. 2016 Dec;178:38-53.e6.",27477081
"Holmes CJ, Plichta JK, Gamelli RL, Radek KA. Burn Injury Alters Epidermal Cholinergic Mediators and Increases HMGB1 and Caspase 3 in Autologous Donor Skin and Burn Margin. Shock. 2017 Feb;47(2):175–83.",27648692
"Ijaz T, Jamaluddin M, Zhao Y, Zhang Y, Jay J, Finnerty CC, et al. Coordinate activities of BRD4 and CDK9 in the transcriptional elongation complex are required for TGFβ-induced Nox4 expression and myofibroblast transdifferentiation. Cell Death Dis. 2017 Feb 9;8(2):e2606.",28182006
"Guo L, Huang X, Liang P, Zhang P, Zhang M, Ren L, et al. Role of XIST/miR-29a/LIN28A pathway in denatured dermis and human skin fibroblasts (HSFs) after thermal injury. J Cell Biochem. 2018 Feb;119(2):1463–74.",28771809
"Cao W, Feng Y. LncRNA XIST promotes extracellular matrix synthesis, proliferation and migration by targeting miR-29b-3p/COL1A1 in human skin fibroblasts after thermal injury. Biol Res. 2019 Sep 20;52(1):52.",31540582
"Vinaik R, Abdullahi A, Barayan D, Jeschke MG. NLRP3 inflammasome activity is required for wound healing after burns. Transl Res. 2020 Mar;217:47–60.",31843468
"Jiang B, Tang Y, Wang H, Chen C, Yu W, Sun H, et al. Down-regulation of long non-coding RNA HOTAIR promotes angiogenesis via regulating miR-126/SCEL pathways in burn wound healing. Cell Death Dis. 2020 Jan 23;11(1):61.",31974341
"Evdokiou A, Kanisicak O, Gierek S, Barry A, Ivey MJ, Zhang X, et al. Characterization of Burn Eschar Pericytes. J Clin Med. 2020 Feb 24;9(2):606.",32102389
"Rong H-T, Liu D-W. Identification of differentially expressed miRNAs associated with thermal injury in epidermal stem cells based on RNA-sequencing. Exp Ther Med. 2020 Mar;19(3):2218–28.",32104287
