citation,pmid
Yasuda H. Regulation of cell cycle by cdc2 kinase in mammalian cells. Seikagaku. 1992 Jan;64(1):1–13.,1535095
"Fang L, Igarashi M, Leung J, Sugrue MM, Lee SW, Aaronson SA. p21Waf1/Cip1/Sdi1 induces permanent growth arrest with markers of replicative senescence in human tumor cells lacking functional p53. Oncogene. 1999 May 6;18(18):2789–97.",10362249
"Shinohara A, Ogawa T. Rad51/RecA protein families and the associated proteins in eukaryotes. Mutat Res. 1999 Sep 13;435(1):13–21.",10526213
Hershko A. Mechanisms and regulation of the degradation of cyclin B. Philos Trans R Soc Lond B Biol Sci. 1999 Sep 29;354(1389):1571–5; discussion 1575-6.,10582242
"Bay JO, Uhrhammer N, Stoppa-Lyonnet D, Hall J. Role of the ATM gene in genetic predisposition to cancer. Bull Cancer. 2000 Jan;87(1):29–34.",10673629
Shaul Y. c-Abl: activation and nuclear targets. Cell Death Differ. 2000 Jan;7(1):10–6.,10713716
"Barnes DM, Camplejohn RS. P53, apoptosis, and breast cancer. J Mammary Gland Biol Neoplasia. 1996 Apr;1(2):163–75.",10887490
Ito M. Factors controlling cyclin B expression. Plant Mol Biol. 2000 Aug;43(5–6):677–90.,11089869
"Stiewe T, Pützer BM. p73 in apoptosis. Apoptosis. 2001 Dec;6(6):447–52.",11595834
"Shiloh Y, Kastan MB. ATM: genome stability, neuronal development, and cancer cross paths. Adv Cancer Res. 2001;83:209–54.",11665719
"Guo Y, Srinivasula SM, Druilhe A, Fernandes-Alnemri T, Alnemri ES. Caspase-2 induces apoptosis by releasing proapoptotic proteins from mitochondria. J Biol Chem. 2002 Apr 19;277(16):13430–7.",11832478
"Stiewe T, Pützer BM. Role of p73 in malignancy: tumor suppressor or oncogene? Cell Death Differ. 2002 Mar;9(3):237–45.",11859406
"Dorée M, Hunt T. From Cdc2 to Cdk1: when did the cell cycle kinase join its cyclin partner? J Cell Sci. 2002 Jun 15;115(Pt 12):2461–4.",12045216
"Hildesheim J, Fornace AJ Jr. Gadd45a: an elusive yet attractive candidate gene in pancreatic cancer. Clin Cancer Res. 2002 Aug;8(8):2475–9.",12171872
Esposti MD. The roles of Bid. Apoptosis. 2002 Oct;7(5):433–40.,12207176
"Hinchcliffe EH, Sluder G. Two for two: Cdk2 and its role in centrosome doubling. Oncogene. 2002 Sep 9;21(40):6154–60.",12214244
"Hollander MC, Fornace AJ Jr. Genomic instability, centrosome amplification, cell cycle checkpoints and Gadd45a. Oncogene. 2002 Sep 9;21(40):6228–33.",12214253
"Troy CM, Shelanski ML. Caspase-2 redux. Cell Death Differ. 2003 Jan;10(1):101–7.",12655298
"Groth A, Lukas J, Nigg EA, Silljé HHW, Wernstedt C, Bartek J, et al. Human Tousled like kinases are targeted by an ATM- and Chk1-dependent DNA damage checkpoint. EMBO J. 2003 Apr 1;22(7):1676–87.",12660173
Hinds PW. Cdk2 dethroned as master of S phase entry. Cancer Cell. 2003 Apr;3(4):305–7.,12726855
"Fernandez-Capetillo O, Celeste A, Nussenzweig A. Focusing on foci: H2AX and the recruitment of DNA-damage response factors. Cell Cycle. 2003;2(5):426–7.",12963833
"Neely KE, Piwnica-Worms H. Cdc25A regulation: to destroy or not to destroy--is that the only question? Cell Cycle. 2003;2(5):455–7.",12963843
"Porter LA, Donoghue DJ. Cyclin B1 and CDK1: nuclear localization and upstream regulators. Prog Cell Cycle Res. 2003;5:335–47.",14593728
"Henning W, Stürzbecher HW. Homologous recombination and cell cycle checkpoints: Rad51 in tumour progression and therapy resistance. Toxicology. 2003 Nov 15;193(1–2):91–109.",14599770
"Sutherland RL, Musgrove EA. Cyclins and breast cancer. J Mammary Gland Biol Neoplasia. 2004 Jan;9(1):95–104.",15082921
"Pichierri P, Rosselli F. Fanconi anemia proteins and the s phase checkpoint. Cell Cycle. 2004 Jun;3(6):698–700.",15136767
"Möröy T, Geisen C. Cyclin E. Int J Biochem Cell Biol. 2004 Aug;36(8):1424–39.",15147722
"Brooks CL, Gu W. Dynamics in the p53-Mdm2 ubiquitination pathway. Cell Cycle. 2004 Jul;3(7):895–9.",15254415
"Blandino G, Dobbelstein M. p73 and p63: why do we still need them? Cell Cycle. 2004 Jul;3(7):886–94.",15254416
"Marine J-C, Jochemsen AG. Mdmx and Mdm2: brothers in arms? Cell Cycle. 2004 Jul;3(7):900–4.",15254433
"Lam MH, Rosen JM. Chk1 versus Cdc25: chking one’s levels of cellular proliferation. Cell Cycle. 2004 Nov;3(11):1355–7.",15483403
"Nishina H, Wada T, Katada T. Physiological roles of SAPK/JNK signaling pathway. J Biochem. 2004 Aug;136(2):123–6.",15496581
"Zhan Q. Gadd45a, a p53- and BRCA1-regulated stress protein, in cellular response to DNA damage. Mutat Res. 2005 Jan 6;569(1–2):133–43.",15603758
"Richardson C. RAD51, genomic stability, and tumorigenesis. Cancer Lett. 2005 Feb 10;218(2):127–39.",15670890
"Shaul Y, Ben-Yehoyada M. Role of c-Abl in the DNA damage stress response. Cell Res. 2005 Jan;15(1):33–5.",15686624
"Thacker J. The RAD51 gene family, genetic instability and cancer. Cancer Lett. 2005 Mar 10;219(2):125–35.",15723711
"Levav-Cohen Y, Goldberg Z, Zuckerman V, Grossman T, Haupt S, Haupt Y. C-Abl as a modulator of p53. Biochem Biophys Res Commun. 2005 Jun 10;331(3):737–49.",15865930
"Zhivotovsky B, Orrenius S. Caspase-2 function in response to DNA damage. Biochem Biophys Res Commun. 2005 Jun 10;331(3):859–67.",15865942
"Kawabata M, Kawabata T, Nishibori M. Role of recA/RAD51 family proteins in mammals. Acta Med Okayama. 2005 Feb;59(1):1–9.",15902993
"Wang Q, Maniati M, Jabado O, Pavlaki M, Troy CM, Greene LA, et al. RAIDD is required for apoptosis of PC12 cells and sympathetic neurons induced by trophic factor withdrawal. Cell Death Differ. 2006 Jan;13(1):75–83.",15947787
"Zgheib O, Huyen Y, DiTullio RA Jr, Snyder A, Venere M, Stavridi ES, et al. ATM signaling and 53BP1. Radiother Oncol. 2005 Aug;76(2):119–22.",16024119
"Meulmeester E, Pereg Y, Shiloh Y, Jochemsen AG. ATM-mediated phosphorylations inhibit Mdmx/Mdm2 stabilization by HAUSP in favor of p53 activation. Cell Cycle. 2005 Sep;4(9):1166–70.",16082221
"Pommier Y, Sordet O, Rao VA, Zhang H, Kohn KW. Targeting chk2 kinase: molecular interaction maps and therapeutic rationale. Curr Pharm Des. 2005;11(22):2855–72.",16101442
"Papadopoulo D, Moustacchi E. Fanconi anemia: genes and function(s) revisited. Med Sci (Paris). 2005;21(8–9):730–6.",16115458
"Berube C, Boucher L-M, Ma W, Wakeham A, Salmena L, Hakem R, et al. Apoptosis caused by p53-induced protein with death domain (PIDD) depends on the death adapter protein RAIDD. Proc Natl Acad Sci U S A. 2005 Oct 4;102(40):14314–20.",16183742
"Kaldis P, Aleem E. Cell cycle sibling rivalry: Cdc2 vs. Cdk2. Cell Cycle. 2005 Nov;4(11):1491–4.",16258277
"Niida H, Nakanishi M. DNA damage checkpoints in mammals. Mutagenesis. 2006 Jan;21(1):3–9.",16314342
"Wu Z-H, Mabb A, Miyamoto S. PIDD: a switch hitter. Cell. 2005 Dec 16;123(6):980–2.",16360026
"Janssens S, Tinel A, Lippens S, Tschopp J. PIDD mediates NF-kappaB activation in response to DNA damage. Cell. 2005 Dec 16;123(6):1079–92.",16360037
"Egloff AM, Vella LA, Finn OJ. Cyclin B1 and other cyclins as tumor antigens in immunosurveillance and immunotherapy of cancer. Cancer Res. 2006 Jan 1;66(1):6–9.",16397206
"Hasselbach L, Haase S, Fischer D, Kolberg HC, Stürzbecher HW. Characterisation of the promoter region of the human DNA-repair gene Rad51. Eur J Gynaecol Oncol. 2005;26(6):589–98.",16398215
Gross A. BID as a double agent in cell life and death. Cell Cycle. 2006 Mar;5(6):582–4.,16582605
"Karlsson-Rosenthal C, Millar JBA. Cdc25: mechanisms of checkpoint inhibition and recovery. Trends Cell Biol. 2006 Jun;16(6):285–92.",16682204
"Yang XH, Zou L. Checkpoint and coordinated cellular responses to DNA damage. Results Probl Cell Differ. 2006;42:65–92.",16903208
"Nevanlinna H, Bartek J. The CHEK2 gene and inherited breast cancer susceptibility. Oncogene. 2006 Sep 25;25(43):5912–9.",16998506
"Wu D, Cui F, Jernigan R, Wu Z. PIDD: database for Protein Inter-atomic Distance Distributions. Nucleic Acids Res. 2007 Jan;35(Database issue):D202-7.",17151078
"Marine J-CW, Dyer MA, Jochemsen AG. MDMX: from bench to bedside. J Cell Sci. 2007 Feb 1;120(Pt 3):371–8.",17251377
"Festjens N, Vanden Berghe T, Cornelis S, Vandenabeele P. RIP1, a kinase on the crossroads of a cell’s decision to live or die. Cell Death Differ. 2007 Mar;14(3):400–10.",17301840
"Wolf F, Sigl R, Geley S. “... The end of the beginning”: cdk1 thresholds and exit from mitosis. Cell Cycle. 2007 Jun 15;6(12):1408–11.",17581279
"Marignol L, Coffey M, Hollywood D, Lawler M. Radiation to control transgene expression in tumors. Cancer Biol Ther. 2007 Jul;6(7):1005–12.",17611403
"Tanaka T, Huang X, Halicka HD, Zhao H, Traganos F, Albino AP, et al. Cytometry of ATM activation and histone H2AX phosphorylation to estimate extent of DNA damage induced by exogenous agents. Cytometry A. 2007 Sep;71(9):648–61.",17622968
"Castellino RC, De Bortoli M, Lin LL, Skapura DG, Rajan JA, Adesina AM, et al. Overexpressed TP73 induces apoptosis in medulloblastoma. BMC Cancer. 2007 Jul 12;7:127.",17626635
"Williams RS, Williams JS, Tainer JA. Mre11-Rad50-Nbs1 is a keystone complex connecting DNA repair machinery, double-strand break signaling, and the chromatin template. Biochem Cell Biol. 2007 Aug;85(4):509–20.",17713585 
"Bhoumik A, Lopez-Bergami P, Ronai Z. ATF2 on the double - activating transcription factor and DNA damage response protein. Pigment Cell Res. 2007 Dec;20(6):498–506.",17935492
"Jacquemont C, Taniguchi T. The Fanconi anemia pathway and ubiquitin. BMC Biochem. 2007 Nov 22;8 Suppl 1(Suppl 1):S10.",18047734
Lavin MF. ATM and the Mre11 complex combine to recognize and signal DNA double-strand breaks. Oncogene. 2007 Dec 10;26(56):7749–58.,18066087 
"Heideker J, Lis ET, Romesberg FE. Phosphatases, DNA damage checkpoints and checkpoint deactivation. Cell Cycle. 2007 Dec 15;6(24):3058–64.",18075314
Klein HL. The consequences of Rad51 overexpression for normal and tumor cells. DNA Repair (Amst). 2008 May 3;7(5):686–93.,18243065
Francis D. The G2/M transition in eukaryotes. SEB Exp Biol Ser. 2008;59:81–98.,18368919
Enders GH. Expanded roles for Chk1 in genome maintenance. J Biol Chem. 2008 Jun 27;283(26):17749–52.,18424430
"Salaun P, Rannou Y, Prigent C. Cdk1, Plks, Auroras, and Neks: the mitotic bodyguards. Adv Exp Med Biol. 2008;617:41–56.",18497029
"Chen Y, Poon RYC. The multiple checkpoint functions of CHK1 and CHK2 in maintenance of genome stability. Front Biosci. 2008 May 1;13:5016–29.",18508566
"Bhoumik A, Ronai Z. ATF2: a transcription factor that elicits oncogenic or tumor suppressor activities. Cell Cycle. 2008 Aug;7(15):2341–5.",18677098
"Rosemary Siafakas A, Richardson DR. Growth arrest and DNA damage-45 alpha (GADD45alpha). Int J Biochem Cell Biol. 2009 May;41(5):986–9.",18760377
"Iijima K, Ohara M, Seki R, Tauchi H. Dancing on damaged chromatin: functions of ATM and the RAD50/MRE11/NBS1 complex in cellular responses to DNA damage. J Radiat Res. 2008 Sep;49(5):451–64.",18772547 
"Perona R, Moncho-Amor V, Machado-Pinilla R, Belda-Iniesta C, Sánchez Pérez I. Role of CHK2 in cancer development. Clin Transl Oncol. 2008 Sep;10(9):538–42.",18796370
"Srivastava N, Gochhait S, de Boer P, Bamezai RNK. Role of H2AX in DNA damage response and human cancers. Mutat Res. 2009;681(2–3):180–8.",18804552
"Sunavala-Dossabhoy G, De Benedetti A. Tousled homolog, TLK1, binds and phosphorylates Rad9; TLK1 acts as a molecular chaperone in DNA repair. DNA Repair (Amst). 2009 Jan 1;8(1):87–102.",18940270
"Krumschnabel G, Sohm B, Bock F, Manzl C, Villunger A. The enigma of caspase-2: the laymen’s view. Cell Death Differ. 2009 Feb;16(2):195–207.",19023332
"Czornak K, Chughtai S, Chrzanowska KH. Mystery of DNA repair: the role of the MRN complex and ATM kinase in DNA damage repair. J Appl Genet. 2008;49(4):383–96.",19029686 
"Aressy B, Ducommun B. Cell cycle control by the CDC25 phosphatases. Anticancer Agents Med Chem. 2008 Dec;8(8):818–24.",19075563
"Fernandez-Vidal A, Mazars A, Manenti S. CDC25A: a rebel within the CDC25 phosphatases family? Anticancer Agents Med Chem. 2008 Dec;8(8):825–31.",19075564
"Yang C, Hornicek FJ, Wood KB, Schwab JH, Mankin H, Duan Z. RAIDD expression is impaired in multidrug resistant osteosarcoma cell lines. Cancer Chemother Pharmacol. 2009 Aug;64(3):607–14.",19125251
"Evan GI, d’Adda di Fagagna F. Cellular senescence: hot or what? Curr Opin Genet Dev. 2009 Feb;19(1):25–31.",19181515
"Reinhardt HC, Yaffe MB. Kinases that control the cell cycle in response to DNA damage: Chk1, Chk2, and MK2. Curr Opin Cell Biol. 2009 Apr;21(2):245–55.",19230643
"Lindqvist A, Rodríguez-Bravo V, Medema RH. The decision to enter mitosis: feedback and redundancy in the mitotic entry network. J Cell Biol. 2009 Apr 20;185(2):193–202.",19364923
"Tapia-Alveal C, Calonge TM, O’Connell MJ. Regulation of chk1. Cell Div. 2009 Apr 29;4:8.",19400965
"Krumschnabel G, Manzl C, Villunger A. Caspase-2: killer, savior and safeguard--emerging versatile roles for an ill-defined caspase. Oncogene. 2009 Sep 3;28(35):3093–6.",19581929
"Jang T, Park HH. Purification, crystallization and preliminary x-ray crystallographic studies of RAIDD Death-Domain (DD). Int J Mol Sci. 2009 Jun 3;10(6):2501–9.",19582216
"Zhang X-F, Tang W-R, Luo Y. Aging or tumor: the crosstalk between telomerase and p53. Yi Chuan. 2009 May;31(5):451–6.",19586837
"Johnson N, Cai D, Kennedy RD, Pathania S, Arora M, Li Y-C, et al. Cdk1 participates in BRCA1-dependent S phase checkpoint control in response to DNA damage. Mol Cell. 2009 Aug 14;35(3):327–39.",19683496
"Moldovan G-L, D’Andrea AD. How the fanconi anemia pathway guards the genome. Annu Rev Genet. 2009;43:223–49.",19686080
"Dickey JS, Redon CE, Nakamura AJ, Baird BJ, Sedelnikova OA, Bonner WM. H2AX: functional roles and potential applications. Chromosoma. 2009 Dec;118(6):683–92.",19707781
"Kumar S. Caspase 2 in apoptosis, the DNA damage response and tumour suppression: enigma no more? Nat Rev Cancer. 2009 Dec;9(12):897–903.",19890334
"Gerlitz G. HMGNs, DNA repair and cancer. Biochim Biophys Acta. 2010;1799(1–2):80–5.",20004154
"Warmerdam DO, Kanaar R. Dealing with DNA damage: relationships between checkpoint and repair pathways. Mutat Res. 2010;704(1–3):2–11.",20006736
"Merry C, Fu K, Wang J, Yeh I-J, Zhang Y. Targeting the checkpoint kinase Chk1 in cancer therapy. Cell Cycle. 2010 Jan 15;9(2):279–83.",20023404
"Vakifahmetoglu-Norberg H, Zhivotovsky B. The unpredictable caspase-2: what can it do? Trends Cell Biol. 2010 Mar;20(3):150–9.",20061149
Bouchier-Hayes L. The role of caspase-2 in stress-induced apoptosis. J Cell Mol Med. 2010 Jun;14(6A):1212–24.,20158568
"Jungmichel S, Stucki M. MDC1: The art of keeping things in focus. Chromosoma. 2010 Aug;119(4):337–49.",20224865
"Greer Card DA, Sierant ML, Davey S. Rad9A is required for G2 decatenation checkpoint and to prevent endoreduplication in response to topoisomerase II inhibition. J Biol Chem. 2010 May 14;285(20):15653–61.",20305300
"Vandenabeele P, Declercq W, Van Herreweghe F, Vanden Berghe T. The role of the kinases RIP1 and RIP3 in TNF-induced necrosis. Sci Signal. 2010 Mar 30;3(115):re4.",20354226
"Hydbring P, Larsson L-G. Cdk2: a key regulator of the senescence control function of Myc. Aging (Albany NY). 2010 Apr;2(4):244–50.",20445224
"Enserink JM, Kolodner RD. An overview of Cdk1-controlled targets and processes. Cell Div. 2010 May 13;5:11.",20465793
"Yuan J, Adamski R, Chen J. Focus on histone variant H2AX: to be or not to be. FEBS Lett. 2010 Sep 10;584(17):3717–24.",20493860
"Smits VAJ, Warmerdam DO, Martin Y, Freire R. Mechanisms of ATR-mediated checkpoint signalling. Front Biosci (Landmark Ed). 2010 Jun 1;15:840–53.",20515729
"Lamarche BJ, Orazio NI, Weitzman MD. The MRN complex in double-strand break repair and telomere maintenance. FEBS Lett. 2010 Sep 10;584(17):3682–95.",20655309 
Manfredi JJ. The Mdm2-p53 relationship evolves: Mdm2 swings both ways as an oncogene and a tumor suppressor. Genes Dev. 2010 Aug 1;24(15):1580–9.,20679392
Meuth M. Chk1 suppressed cell death. Cell Div. 2010 Sep 2;5:21.,20813042
"Smith J, Tho LM, Xu N, Gillespie DA. The ATM-Chk2 and ATR-Chk1 pathways in DNA damage signaling and cancer. Adv Cancer Res. 2010;108:73–112.",21034966
"Williams GJ, Lees-Miller SP, Tainer JA. Mre11-Rad50-Nbs1 conformations and the control of sensing, signaling, and effector responses at DNA double-strand breaks. DNA Repair (Amst). 2010 Dec 10;9(12):1299–306.",21035407 
Paull TT. Making the best of the loose ends: Mre11/Rad50 complexes and Sae2 promote DNA double-strand break resection. DNA Repair (Amst). 2010 Dec 10;9(12):1283–91.,21050828 
"Matsushita N, Kitao H, Ishiai M, Takata M. Fanconi anemia and DNA-damage response network. Tanpakushitsu Kakusan Koso. 2009 Mar;54(4 Suppl):580–5.",21089513
Miyamoto S. Nuclear initiated NF-κB signaling: NEMO and ATM take center stage. Cell Res. 2011 Jan;21(1):116–30.,21187855
"Chen W, Li Z, Bai L, Lin Y. NF-kappaB in lung cancer, a carcinogenesis mediator and a prevention and therapy target. Front Biosci (Landmark Ed). 2011 Jan 1;16:1172–85.",21196225
"Stracker TH, Petrini JHJ. The MRE11 complex: starting from the ends. Nat Rev Mol Cell Biol. 2011 Feb;12(2):90–103.",21252998 
"Coster G, Goldberg M. The cellular response to DNA damage: a focus on MDC1 and its interacting proteins. Nucleus. 2010;1(2):166–78.",21326949
"Mladenov E, Iliakis G. Induction and repair of DNA double strand breaks: the increasing spectrum of non-homologous end joining pathways. Mutat Res. 2011 Jun 3;711(1–2):61–72.",21329706
"Bisso A, Collavin L, Del Sal G. p73 as a pharmaceutical target for cancer therapy. Curr Pharm Des. 2011;17(6):578–90.",21391908
"Hu X, Moscinski LC. Cdc2: a monopotent or pluripotent CDK? Cell Prolif. 2011 Jun;44(3):205–11.",21535261
"Lenos K, Jochemsen AG. Functions of MDMX in the modulation of the p53-response. J Biomed Biotechnol. 2011;2011:876173.",21541195
"Cornils H, Kohler RS, Hergovich A, Hemmings BA. Downstream of human NDR kinases: impacting on c-myc and p21 protein stability to control cell cycle progression. Cell Cycle. 2011 Jun 15;10(12):1897–904.",21593588
"Arthur LM, Heber-Katz E. The role of p21 in regulating mammalian regeneration. Stem Cell Res Ther. 2011 Jun 29;2(3):30.",21722344
"Jeggo PA, Geuting V, Löbrich M. The role of homologous recombination in radiation-induced double-strand break repair. Radiother Oncol. 2011 Oct;101(1):7–12.",21737170
"Nagathihalli NS, Nagaraju G. RAD51 as a potential biomarker and therapeutic target for pancreatic cancer. Biochim Biophys Acta. 2011 Dec;1816(2):209–18.",21807066
"Costanzo V. Brca2, Rad51 and Mre11: performing balancing acts on replication forks. DNA Repair (Amst). 2011 Oct 10;10(10):1060–5.",21900052 
"Maas A-M, Bretz AC, Mack E, Stiewe T. Targeting p73 in cancer. Cancer Lett. 2013 May 28;332(2):229–36.",21903324
"Medema RH, Macůrek L. Checkpoint control and cancer. Oncogene. 2012 May 24;31(21):2601–13.",21963855
"Zhang J, Zhang H, Li J, Rosenberg S, Zhang EC, Zhou X, et al. RIP1-mediated regulation of lymphocyte survival and death responses. Immunol Res. 2011 Dec;51(2–3):227–36.",22038529
Tanaka T. Mechanisms of cellular senescence by tumor suppressor p53. Nihon Rinsho. 2011 Oct;69(10):1891–900.,22073591
"Bouchier-Hayes L, Green DR. Caspase-2: the orphan caspase. Cell Death Differ. 2012 Jan;19(1):51–7.",22075987
"Finn K, Lowndes NF, Grenon M. Eukaryotic DNA damage checkpoint activation in response to double-strand breaks. Cell Mol Life Sci. 2012 May;69(9):1447–73.",22083606
"Kronja I, Orr-Weaver TL. Translational regulation of the cell cycle: when, where, how and why? Philos Trans R Soc Lond B Biol Sci. 2011 Dec 27;366(1584):3638–52.",22084390
"Liebermann DA, Tront JS, Sha X, Mukherjee K, Mohamed-Hadley A, Hoffman B. Gadd45 stress sensors in malignancy and leukemia. Crit Rev Oncog. 2011;16(1–2):129–40.",22150313
Soulier J. Fanconi anemia. Hematology Am Soc Hematol Educ Program. 2011;2011:492–7.,22160080
"Gozdecka M, Breitwieser W. The roles of ATF2 (activating transcription factor 2) in tumorigenesis. Biochem Soc Trans. 2012 Feb;40(1):230–4.",22260696
"Shen T, Huang S. The role of Cdc25A in the regulation of cell proliferation and apoptosis. Anticancer Agents Med Chem. 2012 Jul;12(6):631–9.",22263797
"Reinhardt HC, Schumacher B. The p53 network: cellular and systemic DNA damage responses in aging and cancer. Trends Genet. 2012 Mar;28(3):128–36.",22265392
"Pei D, Zhang Y, Zheng J. Regulation of p53: a collaboration between Mdm2 and Mdmx. Oncotarget. 2012 Mar;3(3):228–35.",22410433
"Gilmore TD, Wolenski FS. NF-κB: where did it come from and why? Immunol Rev. 2012 Mar;246(1):14–35.",22435545
"Ghosh G, Wang VY-F, Huang D-B, Fusco A. NF-κB regulation: lessons from structures. Immunol Rev. 2012 Mar;246(1):36–58.",22435546
"McCool KW, Miyamoto S. DNA damage-dependent NF-κB activation: NEMO turns nuclear signaling inside out. Immunol Rev. 2012 Mar;246(1):311–26.",22435563
"Ribe EM, Jean YY, Goldstein RL, Manzl C, Stefanis L, Villunger A, et al. Neuronal caspase 2 activity and function requires RAIDD, but not PIDD. Biochem J. 2012 Jun 15;444(3):591–9.",22515271
"Castro E, Eeles R. The role of BRCA1 and BRCA2 in prostate cancer. Asian J Androl. 2012 May;14(3):409–14.",22522501
"Kuroda S, Urata Y, Fujiwara T. Ataxia-telangiectasia mutated and the Mre11-Rad50-NBS1 complex: promising targets for radiosensitization. Acta Med Okayama. 2012;66(2):83–92.",22525466 
"Sahin E, DePinho RA. Axis of ageing: telomeres, p53 and mitochondria. Nat Rev Mol Cell Biol. 2012 May 16;13(6):397–404.",22588366
"Firsanov DV, Solovjeva LV, Svetlova MP. H2AX phosphorylation at the sites of DNA double-strand breaks in cultivated mammalian cells and tissues. Clin Epigenetics. 2011 Aug;2(2):283–97.",22704343
